area,bedrooms,bathrooms,stories,parking,age,price
1360,2,4,3,3,29,7540185
4272,3,4,2,1,12,21502034
3592,1,4,3,2,27,17503090
966,1,4,2,2,20,5657086
4926,2,4,3,0,25,23258881
3944,5,1,1,3,13,19365079
3671,1,3,1,2,12,18120656
3419,1,2,2,2,26,16341914
630,3,4,2,2,3,6081628
2185,4,2,2,2,6,12729612
1269,2,1,3,1,21,6736905
2891,2,4,2,3,9,16643892
2933,5,3,1,0,6,15634646
1684,5,2,3,0,20,9970755
3885,2,4,2,1,14,18831514
4617,5,1,3,3,14,24077659
3404,3,3,3,2,3,18591021
974,2,2,2,1,22,5554496
1582,5,2,3,3,22,10225561
3058,2,4,1,2,5,16891354
2547,4,3,1,1,23,13745566
3247,1,3,3,3,19,16771754
1475,2,3,2,0,25,7179733
2306,1,3,3,0,4,13003585
689,5,1,1,3,19,5084319
3234,1,3,3,0,11,15865565
3505,2,2,3,3,0,18797921
2399,4,2,1,2,27,12571459
1767,5,1,3,3,7,10920572
2028,2,2,3,2,0,11749360
3702,5,2,2,1,4,20813118
4056,3,3,2,3,30,19307832
4390,1,2,1,1,21,20922610
1146,3,1,1,0,5,6711151
3388,2,3,1,2,28,15097123
2935,4,4,2,3,20,15664134
1100,5,3,1,1,2,8088261
2863,1,1,1,2,14,13211535
2561,5,3,1,2,4,15162143
741,2,3,2,0,27,2947760
2541,5,1,3,0,23,13612902
3324,1,3,1,2,13,15825455
3112,2,1,3,2,17,16124261
1863,5,1,1,3,15,10813412
1978,4,4,3,2,5,13407423
3056,2,2,2,3,24,15627174
1275,2,2,2,2,23,7474137
4514,4,3,1,0,13,22414797
534,3,3,3,3,26,4373400
3652,1,4,2,1,23,17586513
2455,3,4,1,0,7,13980619
2085,5,4,1,3,30,11917152
4443,4,1,2,3,28,21583869
3573,3,4,2,1,6,19315297
1521,2,4,1,3,7,9097054
3961,5,3,3,2,12,21090446
3113,5,4,3,1,5,18234368
4343,3,1,3,0,17,21045589
2000,3,1,1,0,1,11111943
661,4,3,2,2,7,6635443
4797,1,4,1,0,10,22586969
2481,3,4,2,3,0,14548458
1495,3,1,3,3,21,8077124
3842,2,4,3,2,28,19865224
4298,5,4,2,0,5,23155865
1775,1,4,2,0,15,9520565
1516,2,2,1,2,26,7630887
837,4,3,3,1,19,6143665
1378,4,2,1,0,11,9128135
1576,3,3,1,1,10,9577513
4493,3,1,1,0,28,20648295
879,4,4,3,0,30,5702872
992,3,3,1,0,26,5103034
2562,1,2,1,0,28,11234546
4384,3,4,1,3,9,22423004
564,5,1,1,1,2,4924278
3068,3,3,1,1,12,15790521
2527,2,3,1,0,26,12033286
3195,1,3,3,0,2,16588393
1995,2,4,1,1,30,9805540
891,2,2,2,3,14,5375700
4974,5,2,1,2,15,24631540
4061,1,3,1,2,28,19450986
2778,1,1,3,1,12,12945121
3599,1,1,3,0,16,17047091
700,1,2,2,0,2,4949773
3604,1,1,2,3,19,16952362
2954,5,2,3,2,10,17686915
4145,3,3,3,3,26,21163359
1304,2,2,1,2,20,7899452
3231,1,2,3,1,18,15303968
3273,3,3,2,2,21,16516527
2070,3,1,1,3,10,11518769
3190,2,2,2,3,29,15269267
4340,5,2,1,3,30,22462833
1528,4,3,3,1,27,9341850
1002,4,1,2,2,15,6171713
4993,3,2,1,2,20,23160092
1370,2,3,1,3,2,8755881
4988,4,2,3,2,21,24856438
706,3,4,3,0,5,6558883
1984,5,3,3,0,30,11933345
1363,4,1,2,0,13,8608057
3290,3,1,1,2,23,15560549
1063,3,1,3,1,17,5831590
4691,1,1,2,1,16,21092439
2257,5,2,2,1,3,13253099
2178,1,2,2,1,22,10237634
3742,2,1,3,0,14,18221531
1559,1,1,3,0,10,7615016
2222,1,1,1,3,25,10354196
3814,4,2,1,2,2,20344020
3657,3,1,3,2,2,19228172
3125,5,1,2,1,15,15953189
3229,1,4,2,0,4,16894413
2097,5,4,2,1,20,13707135
3560,1,1,1,3,28,16192948
3193,2,3,2,2,9,15206962
4127,1,1,1,2,18,19611940
1863,4,4,1,1,24,10342126
2481,3,3,2,3,3,15572356
2163,2,3,2,2,28,11061682
2029,1,1,3,3,28,8838150
2538,5,4,3,3,30,13678651
3802,2,4,2,1,18,19868870
2737,2,3,1,0,10,14519452
1806,1,1,1,1,1,10415009
4529,2,2,1,0,9,21740962
3175,5,2,1,3,28,16459235
1782,2,4,1,0,10,9827641
1209,5,2,3,3,24,8031355
4913,1,4,2,2,19,23577285
4248,3,4,3,2,15,22259732
1163,2,4,1,2,18,6731550
2498,3,2,1,1,22,11676355
3945,5,4,1,1,23,20647438
4243,2,3,1,3,10,20850402
1995,4,1,2,2,13,9652781
3804,3,1,1,1,1,19469284
4263,2,4,2,2,22,20579470
2353,3,1,1,1,27,11564395
1791,2,2,2,0,4,10258424
4081,1,2,3,0,30,18756295
3957,3,1,1,2,26,19934909
2136,4,2,2,3,4,12862974
4196,4,1,3,1,18,20829180
3499,5,1,1,1,20,18017336
3652,2,1,1,0,11,17301276
1198,3,4,1,0,17,8036247
2660,5,1,2,3,3,14810597
4597,3,4,2,3,21,22695413
1354,2,1,3,3,16,8135905
3974,4,1,2,2,9,19815595
2207,1,1,2,0,19,10491049
3277,4,2,1,2,5,17766501
2233,5,4,1,0,24,12281256
4010,1,4,1,0,13,19613585
702,5,1,1,1,10,5021704
3755,2,1,1,0,10,17347550
4718,1,2,1,0,28,20972406
4996,5,2,1,2,17,25146464
1266,2,2,3,0,26,6465181
4889,4,4,3,2,22,25317058
2827,2,4,3,3,21,15350733
3431,3,4,3,0,17,18769183
697,2,1,1,0,23,3323857
2430,2,4,3,2,22,13732282
4082,3,3,1,3,10,21469363
1108,5,3,3,1,20,9262989
3772,5,2,2,3,11,20295371
1647,2,4,3,2,4,10391321
4782,3,3,3,3,22,24627847
3897,3,2,1,2,8,19949216
3011,4,4,3,2,26,17070330
2294,5,1,2,1,30,12311399
1159,1,3,1,0,24,4592119
3311,5,1,1,2,8,17857661
1869,5,4,3,2,21,12171108
2486,4,3,1,1,9,14038553
646,1,4,1,2,21,4145878
3719,4,1,1,0,18,17349428
3411,1,3,1,1,0,17716588
2234,2,1,1,0,6,11409884
2343,1,4,1,0,3,13029478
988,4,4,2,1,0,7556622
3476,5,1,3,2,14,18835567
2459,1,3,2,0,7,12563170
2885,1,1,1,0,11,13499394
3419,3,4,1,0,21,17118920
2302,5,1,3,0,21,12825804
4561,2,4,2,1,17,22488063
3869,4,1,3,1,14,19194543
762,2,3,2,3,16,5582213
1123,5,3,1,3,28,7496413
1516,1,1,3,0,13,7615303
4143,1,1,3,2,13,18244594
2549,5,3,1,0,17,14426818
4223,1,4,3,2,19,20761168
3608,1,3,2,0,17,16626923
4590,1,4,2,3,15,23181282
2556,4,1,2,3,0,15010183
3670,4,1,2,2,22,18151340
2182,3,4,1,0,26,10812915
2755,2,1,3,2,10,14296515
1654,5,4,2,3,14,11424553
4999,5,2,1,0,11,25552667
3691,5,3,3,0,7,20052632
2196,3,2,3,2,21,12484461
4491,4,4,1,1,19,22524373
2148,3,3,1,2,29,10408084
1945,5,4,2,3,5,12601359
4699,2,3,3,3,2,24244294
4423,1,3,3,3,27,21175743
753,4,3,1,3,23,5927431
3683,4,3,3,3,25,19293313
3057,3,4,2,1,29,16080159
598,4,3,3,0,12,5500453
2700,5,3,1,2,12,14401862
3461,5,2,1,2,1,19018952
4933,3,1,2,3,4,23715111
4277,5,1,2,2,16,21962195
3369,2,2,3,3,5,18304096
3734,3,2,3,1,1,19234888
4291,2,4,1,1,3,22583778
1456,1,4,2,0,21,8168416
4567,2,4,2,1,25,22759740
660,1,2,2,1,10,4344782
4993,1,2,3,0,7,23487117
1800,2,3,2,2,11,10695408
4487,3,4,1,3,7,23034200
2027,5,4,1,3,10,13070442
1718,5,4,3,2,21,11250325
